Name,Year,Team,Salary,Prev_Salary,is_rookie,FA,Birth,Age,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
°­°æÇÐ,2021,KIA,7000,8700,X,X,1992,29,SS,0,25,-0.14,0.14,39,39,33,3,5,0,0,0,5,1,1,0,5,1,0,13,0,0,0,0.152,0.282,0.152,0.434,0.032,25.6
°­°æÇÐ,2020,HANWHA,8700,7800,X,X,1992,28,SS,0.84,94,0.61,0.22,238,233,193,25,44,7,1,4,65,19,1,2,35,3,0,64,2,5,2,0.228,0.352,0.337,0.689,0.117,91.8
°­°æÇÐ,2019,HANWHA,7800,8800,X,X,1992,27,SS,0.1,52,0.3,-0.2,135,132,113,21,27,4,0,0,31,12,1,2,15,3,0,32,3,3,1,0.239,0.341,0.274,0.615,0.092,80.8
°­°æÇÐ,2018,HANWHA,8800,5800,X,X,1992,26,SS,2.07,77,1.67,0.41,289,288,245,42,68,11,1,5,96,27,6,3,38,4,0,59,7,1,1,0.278,0.382,0.392,0.774,0.147,104.6
°­°æÇÐ,2017,HANWHA,5800,6200,X,X,1992,25,SS,-0.24,59,-0.19,-0.05,93,93,84,17,18,2,1,0,22,4,1,1,8,1,0,19,1,0,0,0.214,0.29,0.262,0.552,0.051,38.5
°­°æÇÐ,2016,HANWHA,6200,6500,X,X,1992,24,SS,-1.37,46,-0.86,-0.5,116,112,101,16,16,3,2,1,26,7,0,0,8,2,0,30,5,4,1,0.158,0.232,0.257,0.489,0.021,14.7
°­°æÇÐ,2015,HANWHA,6500,4000,X,X,1992,23,SS,0.78,120,0.93,-0.15,376,359,311,50,80,7,4,2,101,27,4,3,40,5,1,58,3,17,3,0.257,0.348,0.325,0.673,0.1,73.8
°­°æÇÐ,2014,HANWHA,4000,2400,X,X,1992,22,SS,-0.13,41,0.26,-0.39,103,101,86,11,19,2,3,1,30,7,0,0,13,2,0,28,1,2,0,0.221,0.337,0.349,0.686,0.11,76.4
°­°æÇÐ,2011,HANWHA,2400,,O,X,1992,19,3B,-0.03,2,-0.03,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.315,-163.7
°­±¸¼º,2018,NC,2700,2700,X,X,1993,25,LF,-0.03,4,-0.03,0,5,5,5,0,1,1,0,0,2,1,0,0,0,0,0,3,0,0,0,0.2,0.2,0.4,0.6,0.043,31.5
