,Year,Team,Name,Salary,Prev_Salary
27,2005,DOOSAN,강관식,-,
489,2008,DOOSAN,고창성,-,
565,2004,DOOSAN,구명환,-,
960,2014,DOOSAN,김경호,-,
959,2015,DOOSAN,김경호,-,-
958,2016,DOOSAN,김경호,-,-
1192,2001,DOOSAN,김덕용,-,
1402,2005,DOOSAN,김명제,-,
1641,2025,DOOSAN,김민호,-,
1779,2001,DOOSAN,김상현,-,
1880,2003,DOOSAN,김성균,-,2000
2072,2004,DOOSAN,김수훈,-,
2210,2006,DOOSAN,김용성,-,
2209,2007,DOOSAN,김용성,-,-
2208,2008,DOOSAN,김용성,-,-
2377,2012,DOOSAN,김이슬,-,
2857,2025,DOOSAN,김준상,-,
2930,2025,DOOSAN,김지윤,-,
3085,2001,DOOSAN,김태구,-,
3084,2002,DOOSAN,김태구,-,-
3081,2005,DOOSAN,김태구,-,2300
3294,2007,DOOSAN,김하람,-,
3305,2002,DOOSAN,김학재,-,
3322,2025,DOOSAN,김한중,-,
3436,2005,DOOSAN,김혜겸,-,
4115,2009,DOOSAN,박건우,-,
4314,2008,DOOSAN,박민석,-,
4337,2025,DOOSAN,박민제,-,
4622,2025,DOOSAN,박연준,-,
4757,2005,DOOSAN,박정배,-,
4861,2008,DOOSAN,박종섭,-,
5405,2003,DOOSAN,백대운,-,
5465,2003,DOOSAN,백승훈,-,
5563,2012,DOOSAN,변진수,-,
5855,2003,DOOSAN,손시헌,-,
6374,2007,DOOSAN,신재웅,-,
7126,2002,DOOSAN,오세학,-,1700
7125,2003,DOOSAN,오세학,-,-
7124,2004,DOOSAN,오세학,-,-
7123,2005,DOOSAN,오세학,-,-
7122,2006,DOOSAN,오세학,-,-
7349,2004,DOOSAN,용덕한,-,
7396,2006,DOOSAN,원용묵,-,
7389,2015,DOOSAN,원용묵,-,2700
7558,2003,DOOSAN,유재웅,-,2000
7758,2004,DOOSAN,윤석민,-,
7813,2005,DOOSAN,윤승균,-,
7844,2009,DOOSAN,윤요한,-,
7847,2005,DOOSAN,윤재국,-,5000
7846,2006,DOOSAN,윤재국,-,-
8008,2007,DOOSAN,이경필,-,
8080,2001,DOOSAN,이대현,-,
8079,2005,DOOSAN,이대현,-,
8140,2001,DOOSAN,이도형,-,
8178,2017,DOOSAN,이동원,-,2700
8226,2007,DOOSAN,이두환,-,
8275,2024,DOOSAN,이민석,-,
8646,2006,DOOSAN,이승엽,-,
