Year,Team,Name,Salary,Prev_Salary,is_rookie
2009,SK/SSG,가득염,9500,12000,X
2008,SK/SSG,가득염,12000,11000,X
2007,SK/SSG,가득염,11000,8000,X
2006,SK/SSG,가득염,8000,8000,X
2005,LOTTE,가득염,8000,8000,X
2004,LOTTE,가득염,8000,8000,X
2003,LOTTE,가득염,8000,5700,X
2002,LOTTE,가득염,5700,5500,X
2001,LOTTE,가득염,5500,4800,X
2024,KT,강건,3500,3500,X
2023,KT,강건,3500,3000,X
2022,KT,강건,3000,NaN,O
2022,NC,강건준,3000,NaN,O
2021,KIA,강경학,7000,8700,X
2020,KIA,강경학,8700,7800,X
2019,HANWHA,강경학,7800,8800,X
2018,HANWHA,강경학,8800,5800,X
2017,HANWHA,강경학,5800,6200,X
2016,HANWHA,강경학,6200,6500,X
2015,HANWHA,강경학,6500,4000,X
2014,HANWHA,강경학,4000,2400,X
2013,HANWHA,강경학,2400,NaN,O
2017,NC,강구성,2700,2700,X
2016,NC,강구성,2700,2700,X
2015,NC,강구성,2700,2700,X
2014,NC,강구성,2700,2400,X
2013,NC,강구성,2400,NaN,O
2011,HEROES,강귀태,8000,10000,X
2010,HEROES,강귀태,10000,7000,X
2009,HEROES,강귀태,7000,7000,X
2008,HEROES,강귀태,7000,5000,X
2007,HEROES,강귀태,5000,6300,X
2006,HYUNDAI,강귀태,6300,6300,X
2005,HYUNDAI,강귀태,6300,5500,X
2004,HYUNDAI,강귀태,5500,4000,X
2003,HYUNDAI,강귀태,4000,3000,X
2002,HYUNDAI,강귀태,3000,NaN,O
2021,SAMSUNG,강도훈,3000,NaN,O
2017,LOTTE,강동관,2700,2700,X
2016,LOTTE,강동관,2700,2700,X
2015,LOTTE,강동관,2700,2700,X
2014,LOTTE,강동관,2700,NaN,O
2017,SK/SSG,강동권,2700,NaN,O
2014,LOTTE,강동수,2700,NaN,O
2021,NC,강동연,4200,4400,X
2020,NC,강동연,4400,3400,X
2019,NC,강동연,3400,3400,X
2018,DOOSAN,강동연,3400,2800,X
2017,DOOSAN,강동연,2800,2800,X
2015,DOOSAN,강동연,2800,2800,X
2014,DOOSAN,강동연,2800,2400,X
2013,DOOSAN,강동연,2400,2400,X
2012,DOOSAN,강동연,2400,2400,X
2011,DOOSAN,강동연,2400,2400,X
2010,DOOSAN,강동연,2400,NaN,O
2024,DOOSAN,강동형,3000,3000,X
2023,DOOSAN,강동형,3000,3000,X
2021,DOOSAN,강동형,3000,NaN,O
2020,LOTTE,강동호,3500,5100,X
2019,LOTTE,강동호,5100,2700,X
2016,LOTTE,강동호,2700,NaN,O
2024,KIA,강동훈,3000,3000,X
2023,KIA,강동훈,3000,NaN,O
2021,LOTTE,강로한,3600,3700,X
2020,LOTTE,강로한,3700,5300,X
2019,LOTTE,강로한,5300,2900,X
2018,LOTTE,강로한,2900,NaN,O
2022,SK/SSG,강매성,3000,3000,X
2021,SK/SSG,강매성,3000,NaN,O
2013,SAMSUNG,강명구,6000,6000,X
2012,SAMSUNG,강명구,6000,6000,X
2011,SAMSUNG,강명구,6000,5300,X
2010,SAMSUNG,강명구,5300,4700,X
2009,SAMSUNG,강명구,4700,4500,X
2006,SAMSUNG,강명구,4500,3800,X
2005,SAMSUNG,강명구,3800,2500,X
2004,SAMSUNG,강명구,2500,2000,X
2003,SAMSUNG,강명구,2000,NaN,O
2017,HANWHA,강명준,2700,NaN,O
2023,LG,강민,3000,3000,X
2020,LG,강민,3000,2700,X
2019,LG,강민,2700,NaN,O
2021,HEROES,강민국,5000,5500,X
2020,KT,강민국,5500,4000,X
2019,KT,강민국,4000,2700,X
2018,KT,강민국,2700,2700,X
2017,NC,강민국,2700,2700,X
2015,NC,강민국,2700,2700,X
2014,NC,강민국,2700,2400,X
2013,NC,강민국,2400,NaN,O
2022,LG,강민균,3000,NaN,O
2024,SAMSUNG,강민성,3000,3600,X
2024,KT,강민성,3700,3600,X
2023,KT,강민성,3600,3300,X
2022,KT,강민성,3300,3000,X
2021,LOTTE,강민성,3000,3300,X
2020,KT,강민성,3300,2800,X
2019,KT,강민성,2800,2700,X
2019,KT,강민성,2800,2700,X
2018,LOTTE,강민성,2700,NaN,O
2018,KT,강민성,2700,NaN,O
2019,KIA,강민수,2700,NaN,O
2001,LOTTE,강민영,2300,2200,X
2024,KIA,강민제,3000,3000,X
2023,KIA,강민제,3000,NaN,O
2024,SAMSUNG,강민호,40000,40000,X
2023,SAMSUNG,강민호,40000,60000,X
2022,SAMSUNG,강민호,60000,60000,X
2021,SAMSUNG,강민호,60000,50000,X
2020,SAMSUNG,강민호,50000,125000,X
2019,SAMSUNG,강민호,125000,125000,X
2018,SAMSUNG,강민호,125000,125000,X
2017,SAMSUNG,강민호,125000,100000,X
2016,LOTTE,강민호,100000,100000,X
2015,LOTTE,강민호,100000,100000,X
2014,LOTTE,강민호,100000,100000,X
2013,LOTTE,강민호,100000,NaN,X
2024,KT,강백호,70000,29000,X
2023,KT,강백호,29000,29000,X
2022,KT,강백호,29000,55000,X
2021,KT,강백호,55000,31000,X
2020,KT,강백호,31000,21000,X
2019,KT,강백호,21000,12000,X
2018,KT,강백호,12000,2700,X
2017,KT,강백호,2700,NaN,O
2016,NC,강병무,2700,NaN,O
2008,HANWHA,강병수,3000,NaN,O
2011,HEROES,강병식,7000,8000,X
2010,HEROES,강병식,8000,5300,X
2009,HEROES,강병식,5300,5300,X
2008,HEROES,강병식,5300,4000,X
2007,HEROES,강병식,4000,4500,X
2006,HYUNDAI,강병식,4500,3800,X
2005,HYUNDAI,강병식,3800,3500,X
2004,HYUNDAI,강병식,3500,3000,X
2003,HYUNDAI,강병식,3000,2500,X
2002,HYUNDAI,강병식,2500,NaN,O
2021,KIA,강병우,3000,NaN,O
2017,LG,강병의,3000,2700,X
2014,LG,강병의,2700,NaN,O
2014,SAMSUNG,강봉규,15000,15000,X
2012,SAMSUNG,강봉규,15000,15000,X
2011,SAMSUNG,강봉규,15000,11000,X
2010,SAMSUNG,강봉규,11000,14400,X
2009,SAMSUNG,강봉규,14400,6400,X
2008,SAMSUNG,강봉규,6400,6400,X
2007,SAMSUNG,강봉규,6400,5400,X
2006,SAMSUNG,강봉규,5400,4000,X
2005,SAMSUNG,강봉규,4000,4000,X
2004,DOOSAN,강봉규,4000,4000,X
2003,DOOSAN,강봉규,4000,4500,X
2002,DOOSAN,강봉규,4500,2900,X
2001,DOOSAN,강봉규,2900,2000,X
2021,DOOSAN,강산,3000,NaN,O
2005,LG,강상수,8000,8000,X
2004,LOTTE,강상수,8000,8000,X
2003,LOTTE,강상수,8000,8000,X
2002,LOTTE,강상수,8000,9700,X
2001,LOTTE,강상수,9700,9700,X
2021,HANWHA,강상원,3250,3000,X
2020,HANWHA,강상원,3000,3000,X
2017,HANWHA,강상원,3000,2700,X
2016,HANWHA,강상원,2700,2700,X
2015,HANWHA,강상원,2700,NaN,O
2002,HANWHA,강석천,10000,10000,X
2001,HANWHA,강석천,10000,10000,X
2023,LG,강석현,3000,NaN,O
2024,LOTTE,강성우,3100,3000,X
2023,LOTTE,강성우,3000,5200,X
2004,SK/SSG,강성우,5200,5200,X
2003,SK/SSG,강성우,5200,5000,X
2002,SK/SSG,강성우,5000,5300,X
2001,SK/SSG,강성우,5300,5300,X
2024,LOTTE,강승구,3100,3000,X
2023,LOTTE,강승구,3000,NaN,O
2017,HANWHA,강승현,3700,2700,X
2016,HANWHA,강승현,2700,2900,X
2015,LOTTE,강승현,2900,2500,X
2013,LOTTE,강승현,2500,2400,X
2012,LOTTE,강승현,2400,NaN,O
2024,DOOSAN,강승호,37000,25500,X
2023,DOOSAN,강승호,25500,20000,X
2022,DOOSAN,강승호,20000,11500,X
2021,DOOSAN,강승호,11500,5000,X
2020,DOOSAN,강승호,5000,9600,X
2018,SK/SSG,강승호,9600,6600,X
2017,SK/SSG,강승호,6600,3500,X
2016,LG,강승호,3500,2700,X
2015,LG,강승호,2700,2400,X
2013,LG,강승호,2400,NaN,O
2017,KT,강승훈,2700,2700,X
2016,KT,강승훈,2700,2700,X
2015,KT,강승훈,2700,NaN,O
2016,LOTTE,강영식,30000,30000,X
2015,LOTTE,강영식,30000,30000,X
2014,LOTTE,강영식,30000,30000,X
2013,LOTTE,강영식,30000,30000,X
2012,LOTTE,강영식,30000,30000,X
2011,LOTTE,강영식,30000,30000,X
2010,LOTTE,강영식,30000,12000,X
2009,LOTTE,강영식,12000,10000,X
2008,LOTTE,강영식,10000,6800,X
2007,LOTTE,강영식,6800,6000,X
2006,LOTTE,강영식,6000,5500,X
2005,SAMSUNG,강영식,5500,4700,X
2004,SAMSUNG,강영식,4700,4700,X
2003,SAMSUNG,강영식,4700,4200,X
2002,SAMSUNG,강영식,4200,2200,X
2001,SAMSUNG,강영식,2200,2000,X
2021,DOOSAN,강원진,3000,3000,X
2020,DOOSAN,강원진,3000,NaN,O
2005,SAMSUNG,강유삼,2200,NaN,O
2021,LOTTE,강윤구,7300,10000,X
2020,LOTTE,강윤구,10000,15500,X
2019,NC,강윤구,15500,8500,X
2018,NC,강윤구,8500,8500,X
2017,NC,강윤구,8500,8000,X
2016,NC,강윤구,8000,8000,X
