,Year,Team,Name,Salary,Prev_Salary
0,2003,KIA,가내영,-,-
1,2002,KIA,가내영,-,-
2,2001,KIA,가내영,-,
3,2006,LOTTE,가득염,8000,8000
4,2005,LOTTE,가득염,8000,8000
5,2004,LOTTE,가득염,8000,5700
6,2003,LOTTE,가득염,5700,5500
7,2002,LOTTE,가득염,5500,4800
8,2001,LOTTE,가득염,4800,
9,2010,SK/SSG,가득염,9500,12000
10,2009,SK/SSG,가득염,12000,11000
11,2008,SK/SSG,가득염,11000,8000
12,2007,SK/SSG,가득염,8000,8000
13,2025,KT,강건,3500,3500
14,2024,KT,강건,3500,3000
15,2023,KT,강건,3000,
16,2023,NC,강건준,3000,
17,2021,KIA,강경학,8700,7800
18,2022,KIA,강경학,7000,8700
19,2020,HANWHA,강경학,7800,8800
20,2019,HANWHA,강경학,8800,5800
21,2018,HANWHA,강경학,5800,6200
22,2017,HANWHA,강경학,6200,6500
23,2016,HANWHA,강경학,6500,4000
24,2015,HANWHA,강경학,4000,2400
25,2014,HANWHA,강경학,2400,-
26,2011,HANWHA,강경학,-,
27,2005,DOOSAN,강관식,-,
28,2018,NC,강구성,2700,2700
29,2017,NC,강구성,2700,2700
30,2016,NC,강구성,2700,2700
31,2015,NC,강구성,2700,2400
32,2014,NC,강구성,2400,
33,2007,HYUNDAI,강귀태,6300,6300
34,2006,HYUNDAI,강귀태,6300,5500
35,2005,HYUNDAI,강귀태,5500,4000
36,2004,HYUNDAI,강귀태,4000,3000
37,2003,HYUNDAI,강귀태,3000,-
38,2002,HYUNDAI,강귀태,-,
39,2012,HEROES,강귀태,8000,10000
40,2011,HEROES,강귀태,10000,7000
41,2010,HEROES,강귀태,7000,7000
42,2009,HEROES,강귀태,7000,5000
43,2008,HEROES,강귀태,5000,6300
44,2001,DOOSAN,강규철,2000,
45,2022,SAMSUNG,강도훈,3000,
46,2018,LOTTE,강동관,2700,2700
47,2017,LOTTE,강동관,2700,2700
48,2016,LOTTE,강동관,2700,2700
49,2015,LOTTE,강동관,2700,
50,2019,SK/SSG,강동권,-,2700
51,2018,SK/SSG,강동권,2700,
52,2015,LOTTE,강동수,2700,
53,2019,DOOSAN,강동연,3400,2800
54,2018,DOOSAN,강동연,2800,2800
55,2016,DOOSAN,강동연,2800,2800
56,2015,DOOSAN,강동연,2800,2400
57,2014,DOOSAN,강동연,2400,2400
58,2013,DOOSAN,강동연,2400,2400
59,2012,DOOSAN,강동연,2400,2400
60,2011,DOOSAN,강동연,2400,
61,2022,NC,강동연,4200,4400
62,2021,NC,강동연,4400,3400
63,2020,NC,강동연,3400,3400
64,2025,DOOSAN,강동형,3000,3000
65,2024,DOOSAN,강동형,3000,3000
66,2022,DOOSAN,강동형,3000,
67,2021,LOTTE,강동호,3500,5100
68,2020,LOTTE,강동호,5100,2700
69,2017,LOTTE,강동호,2700,
70,2025,KIA,강동훈,3000,3000
71,2024,KIA,강동훈,3000,
72,2022,LOTTE,강로한,3600,3700
73,2021,LOTTE,강로한,3700,5300
74,2020,LOTTE,강로한,5300,2900
75,2019,LOTTE,강로한,2900,
76,2023,SK/SSG,강매성,3000,3000
77,2022,SK/SSG,강매성,3000,
78,2014,SAMSUNG,강명구,6000,6000
79,2013,SAMSUNG,강명구,6000,6000
80,2012,SAMSUNG,강명구,6000,5300
81,2011,SAMSUNG,강명구,5300,4700
82,2010,SAMSUNG,강명구,4700,4500
83,2007,SAMSUNG,강명구,4500,3800
84,2006,SAMSUNG,강명구,3800,2500
85,2005,SAMSUNG,강명구,2500,2000
86,2004,SAMSUNG,강명구,2000,-
87,2003,SAMSUNG,강명구,-,
88,2018,HANWHA,강명준,2700,
89,2024,LG,강민,3000,3000
90,2021,LG,강민,3000,2700
91,2020,LG,강민,2700,
92,2018,NC,강민국,2700,2700
93,2016,NC,강민국,2700,2700
94,2015,NC,강민국,2700,2400
95,2014,NC,강민국,2400,
96,2021,KT,강민국,5500,4000
97,2020,KT,강민국,4000,2700
98,2019,KT,강민국,2700,2700
99,2022,HEROES,강민국,5000,5500
100,2001,LG,강민규,2000,
101,2023,LG,강민균,3000,
102,2022,LOTTE,강민성,3000,3300
103,2019,LOTTE,강민성,2700,
104,2025,SAMSUNG,강민성,3000,3600
105,2025,KT,강민성,3700,3600
106,2024,KT,강민성,3600,3300
107,2023,KT,강민성,3300,3000
108,2021,KT,강민성,3300,2800
109,2020,KT,강민성,2800,2700
110,2020,KT,강민성,2800,2700
111,2019,KT,강민성,2700,
112,2020,KIA,강민수,2700,
113,2007,LOTTE,강민영,-,-
114,2006,LOTTE,강민영,-,-
115,2005,LOTTE,강민영,-,-
116,2004,LOTTE,강민영,-,-
117,2003,LOTTE,강민영,-,2300
118,2002,LOTTE,강민영,2300,2200
119,2001,LOTTE,강민영,2200,
120,2025,KIA,강민제,3000,3000
121,2024,KIA,강민제,3000,
122,2017,LOTTE,강민호,100000,100000
123,2016,LOTTE,강민호,100000,100000
124,2015,LOTTE,강민호,100000,100000
125,2014,LOTTE,강민호,100000,
126,2025,SAMSUNG,강민호,40000,40000
127,2024,SAMSUNG,강민호,40000,60000
128,2023,SAMSUNG,강민호,60000,60000
129,2022,SAMSUNG,강민호,60000,50000
130,2021,SAMSUNG,강민호,50000,125000
131,2020,SAMSUNG,강민호,125000,125000
132,2019,SAMSUNG,강민호,125000,125000
133,2018,SAMSUNG,강민호,125000,100000
134,2025,KT,강백호,70000,29000
135,2024,KT,강백호,29000,29000
136,2023,KT,강백호,29000,55000
137,2022,KT,강백호,55000,31000
138,2021,KT,강백호,31000,21000
139,2020,KT,강백호,21000,12000
140,2019,KT,강백호,12000,2700
141,2018,KT,강백호,2700,
142,2017,NC,강병무,2700,
143,2009,HANWHA,강병수,3000,
144,2007,HYUNDAI,강병식,4500,3800
145,2006,HYUNDAI,강병식,3800,3500
146,2005,HYUNDAI,강병식,3500,3000
147,2004,HYUNDAI,강병식,3000,2500
148,2003,HYUNDAI,강병식,2500,
149,2012,HEROES,강병식,7000,8000
150,2011,HEROES,강병식,8000,5300
151,2010,HEROES,강병식,5300,5300
152,2009,HEROES,강병식,5300,4000
153,2008,HEROES,강병식,4000,4500
154,2022,KIA,강병우,3000,
155,2018,LG,강병의,3000,2700
156,2015,LG,강병의,2700,
157,2005,DOOSAN,강봉규,4000,4000
158,2004,DOOSAN,강봉규,4000,4500
159,2003,DOOSAN,강봉규,4500,2900
160,2002,DOOSAN,강봉규,2900,2000
161,2001,DOOSAN,강봉규,2000,
162,2015,SAMSUNG,강봉규,15000,15000
163,2013,SAMSUNG,강봉규,15000,15000
164,2012,SAMSUNG,강봉규,15000,11000
165,2011,SAMSUNG,강봉규,11000,14400
166,2010,SAMSUNG,강봉규,14400,6400
167,2009,SAMSUNG,강봉규,6400,6400
168,2008,SAMSUNG,강봉규,6400,5400
169,2007,SAMSUNG,강봉규,5400,4000
170,2006,SAMSUNG,강봉규,4000,4000
171,2022,DOOSAN,강산,3000,
172,2005,LOTTE,강상수,8000,8000
173,2004,LOTTE,강상수,8000,8000
174,2003,LOTTE,강상수,8000,9700
175,2002,LOTTE,강상수,9700,9700
176,2001,LOTTE,강상수,9700,
177,2006,LG,강상수,8000,8000
178,2022,HANWHA,강상원,3250,3000
179,2021,HANWHA,강상원,3000,3000
180,2018,HANWHA,강상원,3000,2700
181,2017,HANWHA,강상원,2700,2700
182,2016,HANWHA,강상원,2700,
183,2003,HANWHA,강석천,10000,10000
184,2002,HANWHA,강석천,10000,10000
185,2001,HANWHA,강석천,10000,
186,2024,LG,강석현,3000,
187,2025,LOTTE,강성우,3100,3000
188,2024,LOTTE,강성우,3000,5200
189,2005,SK/SSG,강성우,5200,5200
190,2004,SK/SSG,강성우,5200,5000
191,2003,SK/SSG,강성우,5000,5300
192,2002,SK/SSG,강성우,5300,5300
193,2001,SK/SSG,강성우,5300,
194,2025,LOTTE,강승구,3100,3000
195,2024,LOTTE,강승구,3000,
196,2016,LOTTE,강승현,2900,2500
197,2014,LOTTE,강승현,2500,2400
198,2013,LOTTE,강승현,2400,
199,2018,HANWHA,강승현,3700,2700
200,2017,HANWHA,강승현,2700,2900
201,2025,DOOSAN,강승호,37000,25500
202,2024,DOOSAN,강승호,25500,20000
203,2023,DOOSAN,강승호,20000,11500
204,2022,DOOSAN,강승호,11500,5000
205,2021,DOOSAN,강승호,5000,9600
206,2019,SK/SSG,강승호,9600,6600
207,2018,SK/SSG,강승호,6600,3500
208,2017,LG,강승호,3500,2700
209,2016,LG,강승호,2700,2400
210,2014,LG,강승호,2400,
211,2018,KT,강승훈,2700,2700
212,2017,KT,강승훈,2700,2700
213,2016,KT,강승훈,2700,
214,2017,LOTTE,강영식,30000,30000
215,2016,LOTTE,강영식,30000,30000
216,2015,LOTTE,강영식,30000,30000
217,2014,LOTTE,강영식,30000,30000
218,2013,LOTTE,강영식,30000,30000
219,2012,LOTTE,강영식,30000,30000
220,2011,LOTTE,강영식,30000,12000
221,2010,LOTTE,강영식,12000,10000
222,2009,LOTTE,강영식,10000,6800
223,2008,LOTTE,강영식,6800,6000
224,2007,LOTTE,강영식,6000,5500
225,2006,SAMSUNG,강영식,5500,4700
226,2005,SAMSUNG,강영식,4700,4700
227,2004,SAMSUNG,강영식,4700,4200
228,2003,SAMSUNG,강영식,4200,2200
229,2002,SAMSUNG,강영식,2200,2000
230,2001,SAMSUNG,강영식,2000,
231,2022,DOOSAN,강원진,3000,3000
232,2021,DOOSAN,강원진,3000,
233,2006,SAMSUNG,강유삼,2200,
234,2022,LOTTE,강윤구,7300,10000
235,2021,LOTTE,강윤구,10000,15500
236,2020,NC,강윤구,15500,8500
237,2019,NC,강윤구,8500,8500
238,2018,NC,강윤구,8500,8000
239,2017,NC,강윤구,8000,8000
240,2016,HEROES,강윤구,8000,10500
241,2014,HEROES,강윤구,10500,6700
242,2013,HEROES,강윤구,6700,3800
243,2012,HEROES,강윤구,3800,3000
244,2011,HEROES,강윤구,3000,3300
245,2010,HEROES,강윤구,3300,2000
246,2009,HEROES,강윤구,2000,
247,2025,KIA,강이준,3000,3000
248,2024,KIA,강이준,3000,3000
249,2023,KIA,강이준,3000,3000
250,2022,KIA,강이준,3000,3000
251,2019,KIA,강이준,3000,2800
252,2018,KIA,강이준,2800,
253,2006,DOOSAN,강인권,7400,7700
254,2005,DOOSAN,강인권,7700,6500
255,2004,DOOSAN,강인권,6500,5500
256,2003,DOOSAN,강인권,5500,5500
257,2002,DOOSAN,강인권,5500,3000
258,2001,HANWHA,강인권,3000,
259,2019,SK/SSG,강인호,2700,
260,2016,NC,강장산,3000,2700
261,2015,NC,강장산,2700,2400
262,2014,NC,강장산,2400,
263,2017,KT,강장산,3000,3000
264,2023,HANWHA,강재민,15000,15000
265,2022,HANWHA,강재민,15000,7900
266,2021,HANWHA,강재민,7900,2700
267,2020,HANWHA,강재민,2700,
268,2022,LG,강정현,3300,2700
269,2019,LG,강정현,2700,
270,2007,HYUNDAI,강정호,2000,2000
271,2006,HYUNDAI,강정호,2000,
272,2014,HEROES,강정호,42000,30000
273,2013,HEROES,강정호,30000,18000
274,2012,HEROES,강정호,18000,16000
275,2011,HEROES,강정호,16000,4400
276,2010,HEROES,강정호,4400,4400
277,2009,HEROES,강정호,4400,2000
278,2008,HEROES,강정호,2000,2000
279,2023,SAMSUNG,강준서,3000,
280,2021,SK/SSG,강지광,3000,4800
281,2020,SK/SSG,강지광,4800,3000
282,2019,SK/SSG,강지광,3000,3000
283,2018,SK/SSG,강지광,3000,3000
284,2013,LG,강지광,-,2400
285,2010,LG,강지광,2400,2000
286,2009,LG,강지광,2000,
287,2017,HEROES,강지광,3000,2700
288,2016,HEROES,강지광,2700,2700
289,2015,HEROES,강지광,2700,2400
290,2014,HEROES,강지광,2400,-
291,2022,DOOSAN,강진성,13000,12000
292,2024,SK/SSG,강진성,8500,8000
293,2023,SK/SSG,강진성,8000,13000
294,2021,NC,강진성,12000,3800
295,2020,NC,강진성,3800,3200
296,2019,NC,강진성,3200,3000
297,2018,NC,강진성,3000,2700
298,2017,NC,강진성,2700,2400
299,2014,NC,강진성,2400,2400
300,2013,NC,강진성,2400,
301,2025,HEROES,강진성,5500,8500
302,2017,KIA,강찬영,2700,
303,2006,KIA,강철민,6500,6000
304,2005,KIA,강철민,6000,4400
