,Name,FA,Team,Year,Birth,Age,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Salary,Prev_Salary,is_rookie
0,가득염,,LOTTE,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,4800.0,X
1,강규철,X,DOOSAN,2001,1974.0,27.0,IF,0.05,8.0,0.05,0.0,10.0,10.0,10.0,2.0,3.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,0.6,0.9,0.003,109.0,,,
2,강동우,X,SAMSUNG,2001,1974.0,27.0,LF,1.32,125.0,1.22,0.11,403.0,400.0,347.0,54.0,87.0,15.0,2.0,6.0,124.0,42.0,6.0,1.0,49.0,3.0,0.0,44.0,9.0,2.0,1.0,0.251,0.348,0.357,0.705,-0.022,89.9,,,
3,강민규,X,LG,2001,1975.0,26.0,OF,-0.41,38.0,-0.38,-0.03,47.0,47.0,43.0,6.0,9.0,1.0,0.0,1.0,13.0,6.0,0.0,3.0,3.0,1.0,0.0,13.0,0.0,0.0,0.0,0.209,0.277,0.302,0.579,-0.096,33.3,,,
4,강민영,,LOTTE,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300.0,2200.0,X
5,강봉규,X,DOOSAN,2001,1978.0,23.0,RF,0.07,64.0,0.09,-0.01,97.0,96.0,89.0,16.0,21.0,7.0,1.0,2.0,36.0,11.0,2.0,0.0,6.0,1.0,0.0,28.0,1.0,1.0,0.0,0.236,0.292,0.404,0.696,-0.046,71.5,2900.0,2000.0,X
6,강상수,,LOTTE,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9700.0,9700.0,X
7,강석천,O,HANWHA,2001,1967.0,34.0,3B,-0.46,120.0,-0.23,-0.23,450.0,440.0,407.0,44.0,106.0,18.0,1.0,2.0,132.0,45.0,19.0,9.0,29.0,4.0,1.0,68.0,9.0,9.0,1.0,0.26,0.315,0.324,0.639,-0.053,66.6,10000.0,10000.0,X
8,강성우,X,SK/SSG,2001,1970.0,31.0,C,-1.45,110.0,-1.68,0.23,222.0,204.0,188.0,11.0,30.0,7.0,0.0,0.0,37.0,13.0,2.0,0.0,15.0,1.0,0.0,31.0,6.0,18.0,0.0,0.16,0.225,0.197,0.422,-0.144,4.8,5300.0,5300.0,X
9,강영식,,SAMSUNG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,2000.0,X
10,강인권,,DOOSAN,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,3000.0,X
11,강인권,X,HANWHA,2001,1972.0,29.0,C,0.66,104.0,0.67,-0.01,265.0,258.0,223.0,20.0,55.0,8.0,0.0,6.0,81.0,28.0,2.0,0.0,30.0,4.0,0.0,50.0,7.0,7.0,1.0,0.247,0.345,0.363,0.708,-0.028,85.8,,,
12,강필선,X,HYUNDAI,2001,1972.0,29.0,OF,-0.03,1.0,-0.03,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.356,-165.0,,,
13,강혁,X,SK/SSG,2001,1974.0,27.0,1B,0.22,57.0,0.38,-0.15,224.0,222.0,202.0,25.0,51.0,10.0,0.0,7.0,82.0,39.0,0.0,2.0,21.0,1.0,2.0,25.0,4.0,0.0,0.0,0.252,0.326,0.406,0.732,-0.029,84.8,4200.0,3800.0,X
14,경헌호,,LG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,2800.0,X
15,고상천,,HANWHA,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,,O
16,곽채진,,KIA,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600.0,5600.0,X
17,곽채진,,KIA,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600.0,5600.0,X
18,곽현희,,KIA,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700.0,5700.0,X
19,구민호,X,SAMSUNG,2001,1977.0,24.0,IF,-0.05,4.0,-0.06,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.342,-154.3,,,
20,구자운,,DOOSAN,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700.0,4300.0,X
21,권명철,,SK/SSG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,4000.0,X
